"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2025","134.81","134.77","134.93","134.47","161.79K","-0.88%"
"11/03/2025","136.00","135.66","136.05","134.36","337.51K","-1.43%"
"10/03/2025","137.98","138.00","138.21","137.51","267.13K","-0.17%"
"07/03/2025","138.21","138.00","138.34","137.48","191.33K","-0.84%"
"06/03/2025","139.38","139.36","139.50","139.01","247.23K","-0.63%"
"05/03/2025","140.26","140.50","140.51","139.60","278.52K","-1.27%"
"04/03/2025","142.07","141.84","142.12","141.35","164.39K","-0.84%"
"03/03/2025","143.27","142.85","143.47","142.67","173.44K","1.48%"
"28/02/2025","141.18","141.20","141.38","140.64","173.01K","-0.47%"
"27/02/2025","141.84","141.45","141.87","141.22","85.56K","0.56%"
"26/02/2025","141.05","140.84","141.07","140.44","150.29K","0.15%"
"25/02/2025","140.84","141.20","141.23","140.61","100.37K","-0.30%"
"24/02/2025","141.26","141.80","141.85","140.85","167.49K","-0.58%"
"21/02/2025","142.08","142.95","142.99","141.92","141.95K","-0.61%"
"20/02/2025","142.95","143.63","143.74","142.92","130.90K","-0.36%"
"19/02/2025","143.47","143.50","143.91","143.39","117.12K","-0.01%"
"18/02/2025","143.48","143.61","143.88","143.25","112.00K","0.31%"
"17/02/2025","143.03","143.99","144.00","142.92","163.22K","-0.67%"
"14/02/2025","143.99","143.74","144.00","143.74","114.98K","0.47%"
"13/02/2025","143.32","143.00","143.57","143.00","94.08K","0.33%"
"12/02/2025","142.85","143.00","143.15","142.62","132.14K","-0.09%"
"11/02/2025","142.98","143.15","143.20","142.90","97.87K","0.13%"
"10/02/2025","142.80","143.29","143.30","142.29","142.50K","-0.34%"
"07/02/2025","143.28","143.39","143.47","143.08","89.74K","-0.15%"
"06/02/2025","143.49","142.95","143.58","142.85","67.37K","0.79%"
"05/02/2025","142.37","142.95","142.95","142.23","146.82K","-0.43%"
"04/02/2025","142.98","144.00","144.55","142.91","98.64K","0.27%"
"03/02/2025","142.60","144.50","144.52","141.80","223.58K","-1.31%"
"31/01/2025","144.50","144.82","145.00","144.50","98.86K","0.42%"
"30/01/2025","143.89","143.49","143.98","143.00","106.22K","0.27%"
"29/01/2025","143.50","142.90","143.69","142.85","80.22K","0.99%"
"28/01/2025","142.10","142.56","142.58","141.63","105.40K","-0.34%"
