"Date","Price","Open","High","Low","Vol.","Change %"
"28/03/2025","137.38","137.21","137.49","136.91","124.72K","-0.06%"
"27/03/2025","137.46","137.44","137.54","137.18","128.94K","-1.07%"
"26/03/2025","138.95","139.10","139.63","138.78","137.06K","0.25%"
"25/03/2025","138.60","139.00","139.03","138.60","121.82K","0.35%"
"24/03/2025","138.11","137.84","138.16","137.77","114.51K","0.73%"
"21/03/2025","137.11","137.38","137.38","136.76","165.78K","-0.03%"
"20/03/2025","137.15","136.57","137.33","136.55","149.21K","1.43%"
"19/03/2025","135.22","135.35","135.37","134.92","116.25K","-0.07%"
"18/03/2025","135.32","135.63","135.67","135.21","174.25K","0.24%"
"17/03/2025","135.00","134.89","135.10","134.75","188.80K","0.39%"
"14/03/2025","134.47","134.38","134.70","134.20","359.36K","0.07%"
"13/03/2025","134.38","134.67","134.94","134.32","254.72K","-0.32%"
"12/03/2025","134.81","134.77","134.93","134.47","161.79K","-0.88%"
"11/03/2025","136.00","135.66","136.05","134.36","337.51K","-1.43%"
"10/03/2025","137.98","138.00","138.21","137.51","267.13K","-0.17%"
"07/03/2025","138.21","138.00","138.34","137.48","191.33K","-0.84%"
"06/03/2025","139.38","139.36","139.50","139.01","247.23K","-0.63%"
"05/03/2025","140.26","140.50","140.51","139.60","278.52K","-1.27%"
"04/03/2025","142.07","141.84","142.12","141.35","164.39K","-0.84%"
"03/03/2025","143.27","142.85","143.47","142.67","173.44K","1.48%"
"28/02/2025","141.18","141.20","141.38","140.64","173.01K","-0.47%"
"27/02/2025","141.84","141.45","141.87","141.22","85.56K","0.56%"
"26/02/2025","141.05","140.84","141.07","140.44","150.29K","0.15%"
"25/02/2025","140.84","141.20","141.23","140.61","100.37K","-0.30%"
"24/02/2025","141.26","141.80","141.85","140.85","167.49K","-0.58%"
"21/02/2025","142.08","142.95","142.99","141.92","141.95K","-0.61%"
"20/02/2025","142.95","143.63","143.74","142.92","130.90K","-0.36%"
"19/02/2025","143.47","143.50","143.91","143.39","117.12K","-0.01%"
"18/02/2025","143.48","143.61","143.88","143.25","112.00K","0.31%"
"17/02/2025","143.03","143.99","144.00","142.92","163.22K","-0.67%"
"14/02/2025","143.99","143.74","144.00","143.74","114.98K","0.47%"
"13/02/2025","143.32","143.00","143.57","143.00","94.08K","0.33%"
"12/02/2025","142.85","143.00","143.15","142.62","132.14K","-0.09%"
"11/02/2025","142.98","143.15","143.20","142.90","97.87K","0.13%"
"10/02/2025","142.80","143.29","143.30","142.29","142.50K","-0.34%"
"07/02/2025","143.28","143.39","143.47","143.08","89.74K","-0.15%"
"06/02/2025","143.49","142.95","143.58","142.85","67.37K","0.79%"
"05/02/2025","142.37","142.95","142.95","142.23","146.82K","-0.43%"
"04/02/2025","142.98","144.00","144.55","142.91","98.64K","0.27%"
"03/02/2025","142.60","144.50","144.52","141.80","223.58K","-1.31%"
"31/01/2025","144.50","144.82","145.00","144.50","98.86K","0.42%"
"30/01/2025","143.89","143.49","143.98","143.00","106.22K","0.27%"
"29/01/2025","143.50","142.90","143.69","142.85","80.22K","0.99%"
"28/01/2025","142.10","142.56","142.58","141.63","105.40K","-0.34%"
"24/01/2025","142.58","143.10","143.37","142.40","105.53K","-0.04%"
"23/01/2025","142.63","142.91","142.98","142.43","84.89K","0.02%"
"22/01/2025","142.60","142.39","142.99","142.15","89.83K","0.68%"
"21/01/2025","141.63","141.90","141.94","141.16","139.90K","-0.25%"
"20/01/2025","141.98","142.00","142.28","141.73","115.22K","0.68%"
"17/01/2025","141.02","140.45","141.19","140.28","111.28K","0.13%"
"16/01/2025","140.83","139.90","140.83","139.86","73.43K","1.48%"
"15/01/2025","138.77","139.03","139.10","138.70","85.89K","-0.16%"
"14/01/2025","138.99","139.01","139.11","138.80","113.04K","-0.01%"
"13/01/2025","139.01","139.32","139.34","138.45","141.07K","-0.69%"
"10/01/2025","139.97","140.35","140.49","139.59","67.47K","0.00%"
"09/01/2025","139.97","140.07","140.15","139.65","94.69K","0.14%"
"08/01/2025","139.77","140.00","140.07","139.32","122.86K","-0.21%"
"07/01/2025","140.07","140.66","140.87","139.97","187.27K","0.00%"
"06/01/2025","140.07","140.16","140.48","139.58","92.94K","0.86%"
"03/01/2025","138.87","139.62","139.78","138.87","72.92K","-0.54%"
"02/01/2025","139.62","140.30","140.30","139.01","92.76K","-0.34%"
"31/12/2024","140.10","140.60","140.65","139.75","57.15K","-0.39%"
"30/12/2024","140.65","142.53","142.53","140.65","86.85K","-1.32%"
"27/12/2024","142.53","142.26","142.97","142.26","83.18K","1.01%"
"24/12/2024","141.11","140.48","141.11","140.40","57.90K","0.65%"
"23/12/2024","140.20","139.87","140.27","139.74","84.83K","1.28%"
"20/12/2024","138.43","139.42","139.90","138.28","161.41K","-0.71%"
"19/12/2024","139.42","140.50","141.20","139.17","184.39K","-1.42%"
"18/12/2024","141.43","140.77","141.43","140.50","106.28K","0.39%"
"17/12/2024","140.88","140.80","140.99","140.14","96.87K","0.51%"
"16/12/2024","140.16","140.56","140.57","140.02","236.46K","-0.28%"
"13/12/2024","140.55","140.62","140.99","140.46","114.08K","0.18%"
"12/12/2024","140.30","141.00","141.16","140.12","102.36K","0.04%"
"11/12/2024","140.24","140.18","140.33","139.87","155.51K","-0.14%"
"10/12/2024","140.43","139.64","140.48","139.21","248.32K","-0.52%"
"09/12/2024","141.16","140.92","141.19","140.80","131.18K","0.95%"
"06/12/2024","139.83","139.75","139.98","139.35","162.81K","-0.05%"
"05/12/2024","139.90","139.91","140.13","139.84","146.20K","0.50%"
"04/12/2024","139.20","138.33","139.73","138.11","160.81K","0.63%"
"03/12/2024","138.33","138.06","138.43","138.00","104.05K","0.93%"
"02/12/2024","137.05","136.91","137.21","136.83","111.79K","0.40%"
"29/11/2024","136.51","136.71","136.71","136.26","85.43K","-0.07%"
"28/11/2024","136.60","136.75","136.80","136.12","95.01K","-0.10%"
"27/11/2024","136.74","136.82","137.18","136.65","123.09K","0.57%"
"26/11/2024","135.96","136.06","136.60","135.76","133.21K","0.08%"
"25/11/2024","135.85","135.45","135.90","135.18","135.19K","0.66%"
"22/11/2024","134.96","134.15","134.96","134.15","92.57K","0.93%"
"21/11/2024","133.71","134.36","134.85","133.46","129.97K","-0.24%"
"20/11/2024","134.03","134.50","134.50","133.59","92.96K","-0.10%"
"19/11/2024","134.16","134.08","134.16","133.72","115.71K","-0.22%"
"18/11/2024","134.45","135.00","135.20","134.10","123.76K","-0.61%"
"15/11/2024","135.27","135.90","135.90","135.16","118.48K","-0.49%"
"14/11/2024","135.93","135.46","136.12","135.46","161.86K","0.97%"
"13/11/2024","134.62","135.06","135.10","134.60","138.55K","-0.37%"
"12/11/2024","135.12","134.80","135.29","134.77","124.48K","0.51%"
"11/11/2024","134.43","134.52","134.85","134.35","143.87K","1.06%"
"08/11/2024","133.02","132.80","133.15","132.68","133.15K","0.29%"
"07/11/2024","132.64","134.00","134.71","132.50","136.19K","-0.04%"
"06/11/2024","132.69","130.39","133.34","130.11","179.71K","2.43%"
"05/11/2024","129.54","130.02","130.02","129.45","78.80K","-0.22%"
"04/11/2024","129.83","130.00","130.00","129.46","129.56K","0.06%"
"01/11/2024","129.75","130.50","130.50","129.46","147.20K","-1.18%"
"31/10/2024","131.30","132.09","132.09","131.22","132.44K","-1.17%"
"30/10/2024","132.86","132.76","133.09","132.66","75.16K","0.42%"
"29/10/2024","132.30","131.99","132.33","131.86","86.29K","0.30%"
"28/10/2024","131.90","131.31","132.03","131.23","122.13K","0.97%"
"25/10/2024","130.63","130.65","130.74","130.51","113.02K","0.28%"
"24/10/2024","130.27","130.37","130.45","130.16","77.43K","-0.12%"
"23/10/2024","130.43","130.31","130.66","130.22","146.55K","0.15%"
"22/10/2024","130.24","131.23","131.30","130.24","106.88K","-0.36%"
"21/10/2024","130.71","130.71","130.87","130.52","75.93K","0.43%"
"18/10/2024","130.15","130.65","130.65","130.02","71.28K","0.00%"
"17/10/2024","130.15","130.95","130.96","129.95","109.77K","0.08%"
"16/10/2024","130.05","129.77","130.38","129.76","128.97K","-0.63%"
"15/10/2024","130.87","130.59","130.87","130.48","101.46K","1.21%"
"14/10/2024","129.31","129.43","129.64","129.17","81.62K","0.54%"
"11/10/2024","128.61","128.76","128.87","128.58","63.19K","-0.16%"
"10/10/2024","128.81","129.29","129.41","128.81","102.65K","0.82%"
"09/10/2024","127.76","128.00","128.14","127.76","73.19K","0.35%"
"08/10/2024","127.32","127.00","127.45","126.82","215.27K","0.25%"
"07/10/2024","127.00","127.17","127.40","126.98","83.75K","1.22%"
"04/10/2024","125.47","125.32","125.63","125.20","84.23K","0.26%"
"03/10/2024","125.15","125.36","125.36","124.99","86.56K","0.20%"
"02/10/2024","124.90","125.03","125.13","124.51","90.21K","-0.37%"
"01/10/2024","125.37","125.52","125.69","125.21","135.45K","-0.06%"
"30/09/2024","125.45","126.26","126.26","125.28","179.07K","-0.92%"
"27/09/2024","126.62","126.43","126.72","126.25","76.39K","-0.22%"
"26/09/2024","126.90","126.79","126.98","126.68","96.73K","1.04%"
"25/09/2024","125.60","125.54","125.69","125.38","295.46K","-0.51%"
"24/09/2024","126.25","126.25","126.30","125.65","101.14K","-0.02%"
"23/09/2024","126.27","126.50","126.73","126.27","102.73K","-0.18%"
"20/09/2024","126.50","126.75","126.84","126.40","110.39K","0.37%"
"19/09/2024","126.03","126.19","126.47","126.01","167.44K","0.02%"
"18/09/2024","126.00","126.08","126.11","125.74","72.51K","-0.06%"
"17/09/2024","126.08","126.19","126.21","125.84","106.15K","-0.17%"
"16/09/2024","126.29","126.70","126.73","126.29","60.30K","0.40%"
"13/09/2024","125.79","125.73","125.98","125.60","90.56K","0.13%"
"12/09/2024","125.63","125.57","125.73","125.49","156.69K","1.08%"
"11/09/2024","124.29","124.61","124.78","124.18","93.37K","0.18%"
"10/09/2024","124.07","124.56","124.68","124.06","85.20K","0.39%"
"09/09/2024","123.59","122.96","123.59","122.88","107.92K","-0.13%"
"06/09/2024","123.75","123.81","123.95","123.35","71.50K","-0.49%"
"05/09/2024","124.36","124.40","124.56","124.16","103.39K","-0.06%"
"04/09/2024","124.43","124.75","124.87","124.25","201.23K","-1.82%"
"03/09/2024","126.74","125.92","126.76","125.79","96.70K","0.51%"
"02/09/2024","126.10","126.12","126.39","126.10","109.95K","0.83%"
"30/08/2024","125.06","125.00","125.26","124.86","110.72K","0.44%"
"29/08/2024","124.51","124.41","124.66","124.28","106.15K","-0.87%"
"28/08/2024","125.60","125.49","125.63","125.03","94.56K","0.17%"
"27/08/2024","125.39","125.58","125.70","125.38","95.59K","-0.37%"
"26/08/2024","125.85","125.63","125.85","125.41","97.72K","-0.08%"
"23/08/2024","125.95","125.94","125.97","125.72","73.25K","0.05%"
"22/08/2024","125.89","125.93","126.06","125.80","143.30K","0.39%"
"21/08/2024","125.40","125.17","125.49","125.08","111.65K","-0.38%"
"20/08/2024","125.88","125.64","126.06","125.57","59.96K","0.41%"
"19/08/2024","125.36","125.85","125.85","125.32","71.33K","-0.76%"
"16/08/2024","126.32","126.46","126.46","126.11","67.54K","1.54%"
"15/08/2024","124.40","124.64","125.23","124.36","77.48K","0.70%"
"14/08/2024","123.53","123.31","123.75","123.21","180.48K","0.83%"
"13/08/2024","122.51","122.40","122.59","122.25","78.15K","0.12%"
"12/08/2024","122.36","122.50","122.57","122.21","97.85K","0.77%"
"09/08/2024","121.42","121.85","121.89","121.14","157.69K","1.23%"
"08/08/2024","119.94","120.50","120.99","119.72","268.77K","-1.15%"
"07/08/2024","121.34","122.05","122.39","120.50","207.66K","-0.10%"
"06/08/2024","121.46","121.20","122.29","120.69","510.98K","-0.11%"
"05/08/2024","121.59","124.50","124.51","120.65","419.03K","-2.36%"
"02/08/2024","124.53","125.79","125.80","124.53","158.84K","-2.56%"
"01/08/2024","127.80","127.76","128.13","127.53","141.72K","0.39%"
"31/07/2024","127.30","125.61","127.49","125.52","123.22K","1.41%"
"30/07/2024","125.53","125.36","125.59","125.20","84.38K","-0.52%"
"29/07/2024","126.18","125.85","126.31","125.84","99.75K","1.13%"
"26/07/2024","124.77","124.81","124.91","124.60","139.35K","-0.07%"
"25/07/2024","124.86","124.90","125.34","124.71","132.45K","-0.93%"
"24/07/2024","126.03","125.97","126.29","125.83","158.81K","0.00%"
"23/07/2024","126.03","126.02","126.17","125.87","115.05K","1.07%"
"22/07/2024","124.70","124.75","125.00","124.11","171.36K","-0.08%"
"19/07/2024","124.80","124.69","124.80","124.55","136.02K","-0.27%"
"18/07/2024","125.14","125.33","125.61","125.04","146.05K","-0.78%"
"17/07/2024","126.13","126.29","126.47","126.05","89.48K","0.33%"
"16/07/2024","125.72","125.40","125.80","125.30","99.17K","0.52%"
"15/07/2024","125.07","125.00","125.17","124.89","125.78K","0.68%"
"12/07/2024","124.23","124.22","124.50","124.00","142.85K","-0.51%"
"11/07/2024","124.87","125.00","125.05","124.78","83.04K","0.79%"
"10/07/2024","123.89","124.00","124.16","123.86","111.83K","-0.19%"
"09/07/2024","124.13","124.21","124.35","124.10","117.58K","0.40%"
"08/07/2024","123.63","123.79","123.80","123.56","87.42K","-0.13%"
"05/07/2024","123.79","123.83","123.85","123.60","92.50K","0.02%"
"04/07/2024","123.77","123.94","123.94","123.69","75.64K","-0.06%"
"03/07/2024","123.85","123.78","123.89","123.61","101.95K","0.23%"
"02/07/2024","123.56","123.40","123.60","123.21","115.41K","0.05%"
"01/07/2024","123.50","125.97","125.97","123.00","141.60K","0.32%"
"30/06/2024","123.10","125.97","123.10","123.10","17.80K","-2.66%"
"28/06/2024","126.46","125.99","126.56","125.96","82.13K","1.06%"
"27/06/2024","125.13","125.42","125.42","125.03","142.27K","-0.10%"
"26/06/2024","125.25","125.73","125.98","125.25","72.51K","-0.04%"
"25/06/2024","125.30","125.36","125.43","125.16","94.86K","-0.12%"
"24/06/2024","125.45","125.61","125.63","125.30","87.13K","-0.13%"
"23/06/2024","125.61","125.61","125.61","125.61","2.32K","0.06%"
"21/06/2024","125.53","125.60","125.60","125.37","99.31K","-0.28%"
"20/06/2024","125.88","125.48","125.88","125.35","58.48K","0.28%"
"19/06/2024","125.53","125.85","125.85","125.50","64.31K","-0.39%"
"18/06/2024","126.02","126.16","126.35","125.91","64.04K","0.31%"
"17/06/2024","125.63","125.42","125.64","125.25","52.50K","0.02%"
"14/06/2024","125.60","125.38","125.62","125.22","53.58K","0.14%"
"13/06/2024","125.43","125.28","125.54","125.21","105.30K","0.36%"
"12/06/2024","124.98","125.06","125.15","124.83","73.83K","-0.14%"
"11/06/2024","125.15","124.97","125.26","124.97","72.96K","0.76%"
"07/06/2024","124.21","124.29","124.39","124.12","56.06K","-0.11%"
"06/06/2024","124.35","124.32","124.49","124.02","74.13K","0.91%"
"05/06/2024","123.23","123.39","123.48","123.05","48.41K","0.37%"
"04/06/2024","122.77","122.50","122.85","122.33","75.83K","-0.68%"
"03/06/2024","123.61","123.12","123.61","123.10","65.24K","1.16%"
"31/05/2024","122.19","122.23","122.32","122.01","55.36K","-0.33%"
"30/05/2024","122.60","122.56","122.69","122.43","63.93K","-0.28%"
"29/05/2024","122.95","123.38","123.52","122.95","110.25K","-0.41%"
"28/05/2024","123.45","123.66","123.66","123.42","115.38K","-0.19%"
"27/05/2024","123.69","123.85","123.85","123.59","64.94K","-0.10%"
"26/05/2024","123.81","123.85","123.85","123.81","3.25K","0.19%"
"24/05/2024","123.58","123.50","123.85","123.45","78.34K","-0.77%"
"23/05/2024","124.54","124.26","124.66","124.17","59.96K","0.87%"
"22/05/2024","123.47","123.68","123.76","123.45","64.32K","-0.15%"
"21/05/2024","123.66","123.37","123.82","123.37","57.46K","0.56%"
"20/05/2024","122.97","123.08","123.17","122.90","79.96K","-0.05%"
"17/05/2024","123.03","122.89","123.29","122.84","56.62K","-0.37%"
"16/05/2024","123.49","123.00","123.50","122.83","83.18K","0.77%"
"15/05/2024","122.55","122.84","122.98","122.50","68.13K","-0.04%"
"14/05/2024","122.60","122.56","122.68","122.45","100.26K","-0.25%"
"13/05/2024","122.91","122.63","122.94","122.54","63.42K","0.44%"
"10/05/2024","122.37","122.22","122.51","122.21","76.93K","0.25%"
"09/05/2024","122.07","122.22","122.32","122.04","68.68K","-0.04%"
"08/05/2024","122.12","122.00","122.28","121.90","63.74K","0.19%"
"07/05/2024","121.89","121.18","121.89","120.87","92.81K","1.31%"
"06/05/2024","120.31","120.36","120.47","120.24","59.38K","0.36%"
"03/05/2024","119.88","120.08","120.08","119.75","87.50K","0.06%"
"02/05/2024","119.81","119.87","120.08","119.73","109.95K","-0.44%"
"01/05/2024","120.34","120.41","120.75","120.34","91.14K","-0.95%"
"30/04/2024","121.50","120.78","121.50","120.67","67.60K","0.65%"
"29/04/2024","120.72","120.97","121.03","120.42","101.18K","0.08%"
"26/04/2024","120.62","121.14","121.14","120.47","83.16K","-0.44%"
"24/04/2024","121.15","121.33","121.46","120.87","104.48K","0.67%"
"23/04/2024","120.34","120.45","120.45","120.11","79.31K","0.16%"
"22/04/2024","120.15","120.11","120.24","119.62","137.65K","0.17%"
"19/04/2024","119.95","120.54","120.54","119.47","215.81K","-0.75%"
"18/04/2024","120.86","121.00","121.10","120.52","129.04K","-0.23%"
"17/04/2024","121.14","121.80","121.91","121.14","86.66K","-0.21%"
"16/04/2024","121.40","121.65","121.81","121.32","118.28K","-0.78%"
"15/04/2024","122.35","122.53","122.53","122.21","112.09K","-0.48%"
"12/04/2024","122.94","122.73","122.95","122.63","57.54K","0.45%"
"11/04/2024","122.39","122.28","122.54","122.28","97.70K","0.47%"
"10/04/2024","121.82","121.68","121.95","121.60","81.35K","-0.11%"
"09/04/2024","121.95","122.03","122.09","121.84","62.97K","-0.16%"
"08/04/2024","122.15","122.43","122.70","122.06","61.32K","-0.45%"
"07/04/2024","122.70","122.43","122.70","122.54","2.24K","1.16%"
"05/04/2024","121.29","121.44","121.44","120.91","143.68K","-1.15%"
"04/04/2024","122.70","122.95","123.14","122.70","105.98K","-0.33%"
"03/04/2024","123.11","124.10","124.10","123.05","86.69K","-1.12%"
"02/04/2024","124.51","125.50","125.50","124.31","121.49K","-0.63%"
"28/03/2024","125.30","125.37","125.50","125.02","86.06K","0.27%"
"27/03/2024","124.96","124.61","125.10","124.54","77.22K","0.32%"
"26/03/2024","124.56","124.62","124.80","124.38","73.35K","-0.23%"
"25/03/2024","124.85","125.14","125.25","124.58","83.63K","-0.30%"
"22/03/2024","125.22","124.49","125.29","124.38","83.89K","1.21%"
"21/03/2024","123.72","123.84","124.13","123.46","74.53K","0.16%"
"20/03/2024","123.52","123.50","123.76","123.29","60.17K","0.42%"
"19/03/2024","123.00","122.51","123.06","122.40","68.91K","0.60%"
"18/03/2024","122.27","122.29","122.29","122.03","64.10K","-0.13%"
"15/03/2024","122.43","122.22","122.64","121.64","76.57K","0.17%"
"14/03/2024","122.22","122.15","122.22","121.89","53.10K","0.03%"
"13/03/2024","122.18","122.27","122.43","122.00","53.19K","0.70%"
"12/03/2024","121.33","121.23","121.41","121.12","71.17K","0.36%"
"11/03/2024","120.90","120.98","121.14","120.88","68.33K","-0.71%"
"08/03/2024","121.77","121.85","121.91","121.61","61.05K","0.64%"
"07/03/2024","120.99","121.87","121.88","120.90","70.84K","-0.64%"
"06/03/2024","121.77","122.65","122.65","121.77","109.61K","-0.77%"
"05/03/2024","122.71","122.88","122.88","122.52","51.20K","0.08%"
"04/03/2024","122.61","122.61","122.61","122.30","92.31K","0.42%"
"01/03/2024","122.10","121.61","122.13","121.61","79.79K","0.73%"
"29/02/2024","121.21","121.42","121.56","121.09","98.72K","-0.11%"
"28/02/2024","121.34","120.95","121.45","120.82","80.18K","0.57%"
"27/02/2024","120.65","120.75","120.94","120.65","88.72K","-0.02%"
"26/02/2024","120.68","120.66","120.75","120.55","70.01K","0.13%"
"23/02/2024","120.52","121.00","121.00","120.43","61.26K","0.92%"
"22/02/2024","119.42","119.05","119.62","119.03","80.07K","1.00%"
"21/02/2024","118.24","118.70","118.84","118.10","67.62K","-0.74%"
"20/02/2024","119.12","119.40","119.49","119.04","60.35K","-0.13%"
"19/02/2024","119.27","119.90","119.99","119.17","81.42K","-0.66%"
"16/02/2024","120.06","120.00","120.14","119.83","82.54K","0.32%"
"15/02/2024","119.68","119.27","119.80","119.27","137.37K","0.62%"
"14/02/2024","118.94","119.36","119.36","118.81","162.71K","-0.44%"
"13/02/2024","119.47","119.43","119.53","119.18","99.13K","-0.10%"
"12/02/2024","119.59","119.54","119.63","119.38","83.67K","0.15%"
"09/02/2024","119.41","119.29","119.85","119.25","80.65K","0.48%"
"08/02/2024","118.84","118.66","118.99","118.65","60.26K","0.76%"
"07/02/2024","117.94","118.00","118.15","117.93","73.23K","0.03%"
"06/02/2024","117.91","118.45","118.45","117.87","107.75K","-0.18%"
"05/02/2024","118.12","118.14","118.58","118.00","84.02K","1.19%"
"02/02/2024","116.73","116.81","117.19","116.72","71.03K","0.56%"
"01/02/2024","116.08","116.35","116.35","115.50","79.93K","-0.35%"
"31/01/2024","116.49","116.22","116.61","115.89","158.26K","0.22%"
"30/01/2024","116.23","116.04","116.32","116.04","47.62K","0.52%"
"29/01/2024","115.63","115.86","115.86","115.58","104.35K","0.17%"
"25/01/2024","115.43","115.52","115.58","115.34","73.90K","-0.03%"
"24/01/2024","115.47","115.16","115.57","115.16","107.43K","0.73%"
"23/01/2024","114.63","115.00","115.41","114.63","58.01K","-0.03%"
"22/01/2024","114.66","114.36","114.74","114.36","61.92K","0.99%"
"19/01/2024","113.54","113.68","113.68","113.42","98.98K","0.58%"
"18/01/2024","112.88","112.91","113.28","112.80","94.99K","-0.27%"
"17/01/2024","113.19","113.20","113.49","112.95","50.55K","0.35%"
"16/01/2024","112.79","112.51","112.99","112.50","51.32K","0.42%"
